study_id,fish_type,new_name
BattleCk_Wild_2014,BattleCk Chinook,Battle Creek Wild Chinook 2014
CNFH_FMR_2019,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2019
CNFH_FMR_2020,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2020
ColemanFall_2012,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2012
ColemanFall_2013,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2013
ColemanFall_2016,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2016
ColemanFall_2017,CNFH Fall Chinook,Coleman Hatchery Fall-run Chinook 2017
ColemanLateFall_2018,CNFH Late-fall Chinook,Coleman Hatchery Late fall-run Chinook 2018
ColemanLateFall_2019,Coleman Late-fall Chinook,Coleman Hatchery Late fall-run Chinook 2019
ColemanLateFall_2020,CNFH Late-fall Chinook,Coleman Hatchery Late fall-run Chinook 2020
FR_Spring_2013,FRH Spring Chinook,Feather River Hatchery Spring-run Chinook 2013
FR_Spring_2014,FRH Spring Chinook,Feather River Hatchery Spring-run Chinook 2014
FR_Spring_2015,FRH Spring Chinook,Feather River Hatchery Spring-run Chinook 2015
FR_Spring_2019,FRH Spring Chinook,Feather River Hatchery Spring-run Chinook 2019
FR_Spring_2020,FRH spring Chinook,Feather River Hatchery Spring-run Chinook 2020
MillCk_Wild_CHK_2013,MillCk Chinook,Mill Creek Wild Chinook 2013
MillCk_Wild_CHK_2014,MillCk Chinook,Mill Creek Wild Chinook 2014
MillCk_Wild_CHK_2015,MillCk Chinook,Mill Creek Wild Chinook 2015
MillCk_Wild_CHK_2016,MillCk Chinook,Mill Creek Wild Chinook 2016
MillCk_Wild_CHK_2017,MillCk Chinook,Mill Creek Wild Chinook 2017
Mok_Fall_2017,Mok Fall Chinook,Mokelumne River Hatchery Fall-run Chinook 2017
Mok_Fall_2018,Mok Fall Chinook,Mokelumne River Hatchery Fall-run Chinook 2018
Nimbus_Fall_2016,Nimbus Fall Chinook,Nimbus Hatchery Fall-run Chinook 2016
Nimbus_Fall_2017,Nimbus Fall Chinook,Nimbus Hatchery Fall-run Chinook 2017
Nimbus_Fall_2018,Nimbus Fall Chinook,Nimbus Hatchery Fall-run Chinook 2018
RBDD_2017,Chinook,Red Bluff Diversion Dam Wild Chinook 2017
RBDD_2018,Chinook,Red Bluff Diversion Dam Wild Chinook 2018
SB_Spring_2015,ButteCk Chinook,Butte Creek Wild Spring-run Chinook 2015
SB_Spring_2016,ButteCk Chinook,Butte Creek Wild Spring-run Chinook 2016
SB_Spring_2017,ButteCk Chinook,Butte Creek Wild Spring-run Chinook 2017
SB_Spring_2018,ButteCk Chinook,Butte Creek Wild Spring-run Chinook 2018
SB_Spring_2019,ButteCK Chinook,Butte Creek Wild Spring-run Chinook 2019
Winter_H_2013,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2013
Winter_H_2014,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2014
Winter_H_2015,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2015
Winter_H_2016,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2016
Winter_H_2017,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2017
Winter_H_2018,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2018
Winter_H_2019,LSNFH Winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2019
Winter_H_2020,LSNFH winter Chinook,Livingston Stone Hatchery Winter-run Chinook 2020
